Iter  91/500 | gameLen=  9.8 | pl=2.5294  vl=0.3453 | buf=200000 | lr=2.00e-03 | sims=200 | 929s
Iter  92/500 | gameLen=  9.9 | pl=2.5235  vl=0.3406 | buf=200000 | lr=2.00e-03 | sims=200 | 939s
Iter  93/500 | gameLen= 10.4 | pl=2.5084  vl=0.3396 | buf=200000 | lr=2.00e-03 | sims=200 | 949s
Iter  94/500 | gameLen= 10.0 | pl=2.5029  vl=0.3380 | buf=200000 | lr=2.00e-03 | sims=200 | 958s
Iter  95/500 | gameLen=  9.5 | pl=2.4989  vl=0.3418 | buf=200000 | lr=2.00e-03 | sims=200 | 968s
Iter  96/500 | gameLen= 11.2 | pl=2.4878  vl=0.3425 | buf=200000 | lr=2.00e-03 | sims=200 | 977s
Iter  97/500 | gameLen=  9.0 | pl=2.4692  vl=0.3368 | buf=200000 | lr=2.00e-03 | sims=200 | 986s
Iter  98/500 | gameLen=  9.6 | pl=2.4623  vl=0.3375 | buf=200000 | lr=2.00e-03 | sims=200 | 995s
Iter  99/500 | gameLen= 10.8 | pl=2.4684  vl=0.3404 | buf=200000 | lr=2.00e-03 | sims=200 | 1005s
Iter 100/500 | gameLen= 11.4 | pl=2.4510  vl=0.3403 | buf=200000 | lr=2.00e-03 | sims=200 | 1014s
  [eval]  vs random=1.00   vs heuristic=0.00
  [ckpt]  saved checkpoint_0100.pt
Iter 101/500 | gameLen=  9.4 | pl=2.4469  vl=0.3421 | buf=200000 | lr=2.00e-03 | sims=200 | 1024s
Iter 102/500 | gameLen= 10.4 | pl=2.4325  vl=0.3360 | buf=200000 | lr=2.00e-03 | sims=200 | 1034s
Iter 103/500 | gameLen= 10.2 | pl=2.4252  vl=0.3392 | buf=200000 | lr=2.00e-03 | sims=200 | 1043s
Iter 104/500 | gameLen=  9.9 | pl=2.4120  vl=0.3361 | buf=200000 | lr=2.00e-03 | sims=200 | 1052s
Iter 105/500 | gameLen= 10.5 | pl=2.4065  vl=0.3407 | buf=200000 | lr=2.00e-03 | sims=200 | 1061s
Iter 106/500 | gameLen= 11.5 | pl=2.4029  vl=0.3443 | buf=200000 | lr=2.00e-03 | sims=200 | 1070s
Iter 107/500 | gameLen= 11.0 | pl=2.3945  vl=0.3392 | buf=200000 | lr=2.00e-03 | sims=200 | 1080s
Iter 108/500 | gameLen=  9.3 | pl=2.3742  vl=0.3389 | buf=200000 | lr=2.00e-03 | sims=200 | 1089s
Iter 109/500 | gameLen= 11.1 | pl=2.3808  vl=0.3381 | buf=200000 | lr=2.00e-03 | sims=200 | 1099s
Iter 110/500 | gameLen= 10.4 | pl=2.3684  vl=0.3360 | buf=200000 | lr=2.00e-03 | sims=200 | 1108s
Iter 111/500 | gameLen= 10.3 | pl=2.3533  vl=0.3374 | buf=200000 | lr=2.00e-03 | sims=200 | 1118s
Iter 112/500 | gameLen= 10.5 | pl=2.3497  vl=0.3386 | buf=200000 | lr=2.00e-03 | sims=200 | 1127s
Iter 113/500 | gameLen= 11.4 | pl=2.3514  vl=0.3395 | buf=200000 | lr=2.00e-03 | sims=200 | 1136s
Iter 114/500 | gameLen= 10.0 | pl=2.3324  vl=0.3339 | buf=200000 | lr=2.00e-03 | sims=200 | 1145s
Iter 115/500 | gameLen=  9.7 | pl=2.3320  vl=0.3375 | buf=200000 | lr=2.00e-03 | sims=200 | 1154s
Iter 116/500 | gameLen=  9.6 | pl=2.3176  vl=0.3356 | buf=200000 | lr=2.00e-03 | sims=200 | 1163s
Iter 117/500 | gameLen= 10.1 | pl=2.3182  vl=0.3330 | buf=200000 | lr=2.00e-03 | sims=200 | 1173s
Iter 118/500 | gameLen=  9.2 | pl=2.3103  vl=0.3289 | buf=200000 | lr=2.00e-03 | sims=200 | 1182s
Iter 119/500 | gameLen= 10.5 | pl=2.3158  vl=0.3355 | buf=200000 | lr=2.00e-03 | sims=200 | 1191s
Iter 120/500 | gameLen= 11.0 | pl=2.3082  vl=0.3311 | buf=200000 | lr=2.00e-03 | sims=200 | 1200s
Iter 121/500 | gameLen=  9.9 | pl=2.2862  vl=0.3260 | buf=200000 | lr=2.00e-03 | sims=200 | 1209s
Iter 122/500 | gameLen= 11.5 | pl=2.2893  vl=0.3245 | buf=200000 | lr=2.00e-03 | sims=200 | 1219s
Iter 123/500 | gameLen=  9.6 | pl=2.2781  vl=0.3215 | buf=200000 | lr=2.00e-03 | sims=200 | 1228s
Iter 124/500 | gameLen= 10.2 | pl=2.2712  vl=0.3180 | buf=200000 | lr=2.00e-03 | sims=200 | 1238s
Iter 125/500 | gameLen= 12.2 | pl=2.2665  vl=0.3226 | buf=200000 | lr=2.00e-03 | sims=200 | 1248s
Iter 126/500 | gameLen= 11.8 | pl=2.2716  vl=0.3261 | buf=200000 | lr=2.00e-03 | sims=200 | 1258s
Iter 127/500 | gameLen= 10.3 | pl=2.2492  vl=0.3273 | buf=200000 | lr=2.00e-03 | sims=200 | 1268s
Iter 128/500 | gameLen= 10.5 | pl=2.2402  vl=0.3210 | buf=200000 | lr=2.00e-03 | sims=200 | 1278s
Iter 129/500 | gameLen= 11.3 | pl=2.2417  vl=0.3239 | buf=200000 | lr=2.00e-03 | sims=200 | 1288s
Iter 130/500 | gameLen= 11.3 | pl=2.2243  vl=0.3201 | buf=200000 | lr=2.00e-03 | sims=200 | 1297s
Iter 131/500 | gameLen=  9.5 | pl=2.2262  vl=0.3171 | buf=200000 | lr=2.00e-03 | sims=200 | 1306s
Iter 132/500 | gameLen= 11.7 | pl=2.2123  vl=0.3163 | buf=200000 | lr=2.00e-03 | sims=200 | 1316s
Iter 133/500 | gameLen= 10.5 | pl=2.2118  vl=0.3231 | buf=200000 | lr=2.00e-03 | sims=200 | 1325s
Iter 134/500 | gameLen= 11.9 | pl=2.2006  vl=0.3210 | buf=200000 | lr=2.00e-03 | sims=200 | 1335s
Iter 135/500 | gameLen= 12.1 | pl=2.1986  vl=0.3216 | buf=200000 | lr=2.00e-03 | sims=200 | 1345s
Iter 136/500 | gameLen= 10.2 | pl=2.1949  vl=0.3222 | buf=200000 | lr=2.00e-03 | sims=200 | 1354s
Iter 137/500 | gameLen=  9.7 | pl=2.1851  vl=0.3219 | buf=200000 | lr=2.00e-03 | sims=200 | 1363s
Iter 138/500 | gameLen=  8.2 | pl=2.1809  vl=0.3187 | buf=200000 | lr=2.00e-03 | sims=200 | 1375s
Iter 139/500 | gameLen= 10.5 | pl=2.1837  vl=0.3223 | buf=200000 | lr=2.00e-03 | sims=200 | 1384s
Iter 140/500 | gameLen= 10.0 | pl=2.1697  vl=0.3166 | buf=200000 | lr=2.00e-03 | sims=200 | 1393s
Iter 141/500 | gameLen= 11.7 | pl=2.1627  vl=0.3178 | buf=200000 | lr=2.00e-03 | sims=200 | 1403s
Iter 142/500 | gameLen= 10.7 | pl=2.1567  vl=0.3157 | buf=200000 | lr=2.00e-03 | sims=200 | 1413s
Iter 143/500 | gameLen= 10.3 | pl=2.1494  vl=0.3186 | buf=200000 | lr=2.00e-03 | sims=200 | 1423s
